id_nombre,grado,cercania,intermediacion,es_terminal,prediccion,resultado
7103 - AV. Chile,2,2.1012083753815686e-05,0.0014708586137157566,0,0,Correcto
6103 - CAN,2,3.345632581298318e-05,0.003861003861003861,0,0,Correcto
7106 - Campín - UAN,2,2.8238965723878693e-05,0.00229821658393087,0,0,Correcto
10008 - San Diego,1,1.7891917434731804e-05,0.0,1,1,Correcto
4100 - Granja - Kr 77,2,3.732153085210177e-05,0.0029417172274315132,0,0,Correcto
7111 - Ricaurte - NQS,1,1.5030806620516918e-05,0.0,1,1,Correcto
4001 - Quirigua,2,2.5984865823712985e-05,0.0010112152969295827,0,0,Correcto
3011 - Suba - Calle 100,2,1.5097660719124145e-05,0.0011031439602868175,0,0,Correcto
7102 - Calle 75 - Zona M,2,1.874712295328e-05,0.0008273579702151131,0,0,Correcto
4102 - AV. Boyacá,2,4.072359976844736e-05,0.0033094318808604526,0,0,Correcto
9100 - Calle 40 Sur,2,2.653662633427272e-05,0.002574002574002574,0,0,Correcto
5102 - AV. Américas - AV. Boyacá,2,3.1602510836861445e-05,0.005515719801434087,0,0,Correcto
5103 - Marsella,2,3.240751713699932e-05,0.005791505791505792,0,0,Correcto
3006 - Niza - Calle 127,2,2.3578102734424483e-05,0.003861003861003861,0,0,Correcto
3001 - La Campiña,2,1.480467949738008e-05,0.0011031439602868175,0,0,Correcto
5005 - Transversal 86,2,2.5036224507189995e-05,0.0035852178709321566,0,0,Correcto
6106 - Corferias,2,3.035931062770463e-05,0.0033094318808604526,0,0,Correcto
7201 - Guatoque - Veraguas,1,8.052902507584242e-06,0.0,1,1,Correcto
12002 - CDS - Carrera 32,2,2.5870956457446462e-05,0.0035852178709321566,0,0,Correcto
6107 - Ciudad Universitaria - Lotería de Bogotá,2,2.699457099623672e-05,0.0027578599007170436,0,0,Correcto
7107 - Universidad Nacional,2,2.719564680904975e-05,0.002206287920573635,0,0,Correcto
6100 - Avenida Rojas - UNISALESIANA,2,2.6996033818025254e-05,0.0027578599007170436,0,0,Correcto
